"","Cardinalis cardinalis","Estrilda astrild","Garrulax canorus","Kittacincla malabarica","Leiothrix lutea","Pycnonotus cafer","Pycnonotus jocosus","Zosterops japonicus"
"Clidemia hirta",1,0,1,1,1,0,1,1
"Hedychium gardnerianum",0,0,0,0,1,0,0,0
"Lantana camara",0,0,0,0,0,0,0,1
"Leptecophylla tameiameiae",0,0,0,0,1,0,0,0
"Myrsine lessertiana",0,0,0,0,1,0,0,0
"Pipturus albidus",0,0,0,0,1,0,0,1
"Psidium cattleianum",0,0,0,1,1,1,1,1
"Psidium guajava",0,0,0,0,1,0,0,1
"Psydrax odorata",0,0,0,0,1,0,0,1
"Rivina humilis",0,1,0,0,0,0,0,1
"Rubus rosifolius",0,0,0,0,1,1,1,1
"Schinus terebinthifolia",0,0,0,0,1,0,1,1
"Trema orientalis",0,0,0,0,0,0,1,1
