"","Chlorodrepanis flava","Himatione sanguinea","Leiothrix lutea","Pycnonotus jocosus","Zosterops japonicus"
"Cheirodendron platyphyllum",0,0,1,0,0
"Clidemia hirta",1,1,1,0,1
"Dianella sandwicensis",0,0,1,0,0
"Ilex anomala",0,0,1,0,1
"Melicope Vizentin-Bugoni2019.unidsp.1",0,0,0,1,0
"Perrottetia sandwicensis",0,0,0,0,1
"Pipturus albidus",0,0,1,0,1
"Psidium cattleianum",0,0,1,0,1
"Rivina humilis",0,0,0,0,1
"Rubus argutus",0,0,1,1,1
"Rubus rosifolius",0,0,1,0,1
"Schinus terebinthifolia",0,0,0,0,1
"Trema orientalis",0,0,1,0,1
"Vaccinium calycinum",0,0,0,0,1
