"","Cardinalis cardinalis","Geopelia striata","Horornis diphone","Kittacincla malabarica","Leiothrix lutea","Paroaria coronata","Pycnonotus cafer","Pycnonotus jocosus","Spilopelia chinensis","Zosterops japonicus"
"Ardisia elliptica",0,0,0,0,0,0,0,1,0,1
"Bischofia javanica",0,0,0,0,0,0,0,0,0,1
"Cecropia obtusifolia",0,0,0,0,0,0,1,1,0,0
"Clidemia hirta",1,1,0,1,1,1,1,1,0,1
"Ficus Vizentin-Bugoni2019.unidsp.mult",0,0,0,0,0,0,0,1,0,0
"Lantana camara",0,0,0,0,1,0,0,0,0,0
"Macaranga mappa",0,0,0,0,1,0,0,1,0,1
"Macaranga tanarius",0,0,0,0,1,0,0,0,0,0
"Passiflora suberosa",0,0,0,0,1,0,1,0,0,1
"Pipturus albidus",0,0,0,0,0,0,0,1,0,0
"Psidium cattleianum",0,0,0,0,0,0,0,0,0,1
"Psydrax odorata",0,0,0,0,1,0,0,1,0,1
"Rubus rosifolius",0,0,0,0,1,0,0,1,0,1
"Schinus terebinthifolia",0,0,0,0,1,0,0,0,0,1
"Trema orientalis",0,0,1,1,1,0,0,1,1,1
"Unidentified Vizentin-Bugoni2019.unidsp.74",0,0,0,0,0,0,1,0,0,0
