"","Anthornis melanura","Prosthemadera novaeseelandiae","Turdus merula","Turdus philomelos","Zosterops lateralis"
"Berberis glaucocarpa",0,0,5,0,2
"Coprosma grandifolia",1,0,1,0,2
"Coprosma robusta",5,0,3,0,4
"Coprosma rotundifolia",1,0,0,0,1
"Crataegus monogyna",0,0,2,0,2
"Leycesteria formosa",1,1,8,0,16
"Melicytus ramiflorus",0,0,2,0,6
"Muehlenbeckia australis",3,0,3,0,11
"Neopanax arboreus",3,0,3,0,31
"Podocarpus cunninghamii",16,3,4,1,27
"Rubus vestitus",0,0,0,0,2
"Schefflera digitata",0,0,2,1,4
