"","Anthornis melanura","Prosthemadera novaeseelandiae","Sturnus vulgaris","Turdus merula","Turdus philomelos","Zosterops lateralis"
"Alectryon excelsus",0,0,0,2,0,0
"Aristotelia serrata",0,2,0,0,0,4
"Coprosma grandifolia",1,0,0,0,0,3
"Coprosma robusta",5,0,0,1,3,11
"Cordyline australis",0,0,0,0,0,3
"Coriaria arborea",1,0,0,2,0,3
"Fuchsia excorticata",1,0,0,0,0,0
"Leycesteria formosa",0,0,0,0,1,15
"Loranthus micranthus",1,0,0,0,0,3
"Melicytus ramiflorus",4,3,0,3,3,42
"Muehlenbeckia australis",1,1,0,0,1,6
"Neopanax arboreus",2,0,0,1,0,20
"Passiflora mollissima",0,0,0,1,0,0
"Pennantia corymbosa",0,0,0,0,0,4
"Piper excelsum",0,2,0,0,0,15
"Pittosporum tenuifolium",0,0,0,0,0,3
"Podocarpus cunninghamii",7,0,0,2,0,5
"Prumnopitys taxifolia",0,2,0,0,0,0
"Sambucus nigra",0,0,2,0,0,6
"Schefflera digitata",0,0,0,0,0,5
"Solanum americanum",0,0,0,1,0,26
