"","Chalcophaps indica","Hystrix brachyura","Lariscus insignis","Leopoldamys sabanus","Lophura erythrophthalma","Macaca nemestrina","Maxomys whiteheadi","Maxomys Yasuda2005.unidsp.mult","Presbytis femoralis","Rattus tiomanicus","Rhinosciurus laticaudatus","Sus scrofa","Tragulus kanchil","Trichys fasciculata","Tupaia glis","Varanus Yasuda2005.unidsp.mult"
"Alangium javanicum",0,0,23,60.7,0,1.6,0,8.2,0,0,0,0,0,0,4.9,1.6
"Archidendron bubalinum",0,34.5,0.5,3.6,17.3,3,0,8.1,0,0,0,0.5,0,31,0,1.5
"Artocarpus nitidus",0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
"Baccaurea parviflora",0,0,14.9,8.1,0,71.6,0,0,0,0,2.7,2.7,0,0,0,0
"Baccaurea reticulata",0,0,4,0,0,96,0,0,0,0,0,0,0,0,0,0
"Balakata baccata",75,0,11.5,0,0,7.3,0,1,0,0,1,0,0,0,4.2,0
"Beilschmiedia madang",0,0,0,0,0,1.8,1.8,3.6,0,0,0,0,1.8,90.9,0,0
"Bouea oppositifolia",0,1.5,0,0,10.6,72.7,0,1.5,0,0,0,0,0,13.6,0,0
"Canarium littorale",0,0,0,0,1.8,75,0,0,0,0,0,0,19.6,0,1.8,1.8
"Castanopsis megacarpa",0,11.7,2.9,16.1,0,1.5,0,8.8,59.1,0,0,0,0,0,0,0
"Daemonorops Yasuda2005.unidsp.mult",0,0,4.5,20,0,52.7,0,3.6,0,0,0.9,2.7,10.9,1.8,0,2.7
"Dillenia sumatrana",0,0,0,44.6,0,1.8,39.3,0,0,7.1,0,7.1,0,0,0,0
"Diospyros cauliflora",0,0,0,0,0,91.3,0,0,0,0,0,0,0,8.7,0,0
"Diospyros singaporensis",0,3.6,1.2,32.1,0,34.5,0,0,0,20.2,1.2,0,6,1.2,0,0
"Dipterocarpus crinitus",0,0,0,49.2,1.6,13.1,0,24.6,0,0,0,0,0,11.5,0,0
"Dysoxylum acutangulum",0,0,0,0.2,0,5.6,0,0,0,0,0,2,0,91.2,0,1
"Elaeocarpus stipularis",0,0,90.9,0,0,0,0,0,0,0,0,0,3,6.1,0,0
"Endospermum diadenum",0,0,12.8,33.3,0,0,0,2.6,0,0,0,0,0,0,51.3,0
"Eugenia Yasuda2005.unidsp.1",0,15,0,10,0,10,0,0,0,0,5,0,25,35,0,0
"Garcinia nervosa",0,0,0,2.4,0,19,0,0,0,0,0,2.4,0,76.2,0,0
"Garcinia nigrolineata",0,0,41.9,0,0,48.4,6.5,1.6,0,0,0,0,0,1.6,0,0
"Garcinia parvifolia",0,0,7.1,7.1,0,71.4,0,0,0,0,0,0,0,0,14.3,0
"Horsfieldia sucosa",0,5,0,0,0,0,0,0,95,0,0,0,0,0,0,0
"Lithocarpus curtisii",0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
"Lithocarpus ewyckii",0,45.5,9.1,0,0,18.2,9.1,18.2,0,0,0,0,0,0,0,0
"Lithocarpus lucidus",0,52.8,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0
"Lithocarpus Yasuda2005.unidsp.1",0,0,41.7,0,0,0,0,58.3,0,0,0,0,0,0,0,0
"Myristica cinnamomea",0,5.3,2.6,0,0,23.7,0,2.6,0,0,0,0,0,34.2,26.3,5.3
"Myristica elliptica",0,1.4,0,1.4,0,4.1,2.7,1.4,0,0,1.4,0,0,85.1,0,2.7
"Myristica hookeriana",0,0,1.5,3.1,0,23.1,0,36.9,0,0,0,1.5,0,33.8,0,0
"Myristica maingayi",0,0,0,1.5,0,66.2,0,0,0,0,0,0,1.5,16.9,13.8,0
"Myristica scortechinii",0,29.2,0,0,0,45.8,0,0,0,0,4.2,0,8.3,0,12.5,0
"Myristica superba",0,0,2.2,4.4,0,82.2,0,6.7,0,0,0,0,0,0,0,4.4
"Ormosia venosa",0,0,0,33.8,0,63.7,0,0,0.6,0,0,0,0.6,0.6,0.6,0
"Parartocarpus bracteata",0,4.8,0,4,0,83.9,0,0.8,0,0,0,1.6,3.2,0,0,1.6
"Parkia speciosa",0,0,9.5,0,0,23.8,0,4.8,0,0,0,61.9,0,0,0,0
"Porterandia anisophylla",0,0,3.3,0,0,40,0,0,0,0,0,0,3.3,0,53.3,0
"Pyrenaria acuminata",0,3.3,0,0,0,85,0,1.7,0,0,1.7,5,0,0,0,3.3
"Ryparosa acuminata",0,20,0,0,60,20,0,0,0,0,0,0,0,0,0,0
"Ryparosa kunstleri",0,5.4,0,51.4,0,10.8,0,8.1,2.7,0,0,5.4,0,0,16.2,0
"Santiria rubiginosa",0,0,0,0,0,40,0,40,0,0,0,0,0,0,20,0
"Sarcotheca monophylla",2.5,4.1,31.1,9,17.2,6.6,2.5,3.3,0,0,0.8,0,0,0.8,18.9,3.3
"Shorea maxima",0,0,51.4,5.4,0,2.7,0,2.7,0,0,1.4,0,28.4,0,6.8,0
"Styrax benzoin",0,0,19.4,0,0,45.2,0,0,0,0,3.2,3.2,16.1,0,3.2,9.7
"Terminalia citrina",0,0,0,0,0,71.7,0,0,0,0,0,6.5,8.7,0,0,13
"Unidentified Yasuda2005.unidsp.1",0,0,28.6,14.3,0,46.4,0,0,0,0,0,10.7,0,0,0,0
"Unidentified Yasuda2005.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,95.7,0,4.3
"Xerospermum noronhianum",0,0,20.6,5.9,0,2.9,0,26.5,0,0,0,0,0,0,44.1,0
"Xylopia malayana",0,0,0,0,0,70,0,27.5,0,0,0,2.5,0,0,0,0
