"","Anisognathus somptuosus","Arremon assimilis","Artibeus phaeotis","Atlapetes latinuchus","Aulacorhynchus prasinus","Carollia brevicauda","Catharus ustulatus","Chlorospingus flavigularis","Chlorospingus parvirostris","Creurgops verticalis","Diglossa cyanea","Elaenia albiceps","Hemispingus frontalis","Iridosornis analis","Mionectes striaticollis","Myadestes ralloides","Myiarchus cephalotes","Piculus rivolii","Platyrrhinus infuscus","Platyrrhinus lineatus","Rupicola peruvianus","Sturnira bidens","Sturnira erythromos","Sturnira ludovici","Tangara labradorides","Tangara nigroviridis","Tangara vassorii","Tangara xanthocephala","Thraupis cyanocephala","Turdus fuscater","Turdus serranus","Vireo Zamora-Delgado2008.unidsp.49"
"Anthurium effusispathum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Anthurium longistrorsum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
"Anthurium triphyllum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthurium Zamora-Delgado2008.unidsp.760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cavendishia Zamora-Delgado2008.unidsp.325",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cavendishia zamorensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Cecropia angustifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Cecropia gabrielis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0
"Cuatresia Zamora-Delgado2008.unidsp.444",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus subandina",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus Zamora-Delgado2008.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus Zamora-Delgado2008.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Fuchsia lehmannii",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Galium Zamora-Delgado2008.unidsp.959",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaultheria erecta",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesneriaceae Zamora-Delgado2008.unidsp.371",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum Zamora-Delgado2008.unidsp.144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Hieronyma Zamora-Delgado2008.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"Lycianthes Zamora-Delgado2008.unidsp.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcgravia helverseniana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Miconia punctata",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia Zamora-Delgado2008.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Miconia Zamora-Delgado2008.unidsp.10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Miconia Zamora-Delgado2008.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Miconia Zamora-Delgado2008.unidsp.3",0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,1,2,0,2,0
