"","Artibeus lituratus","Carollia brevicauda","Carollia perspicillata","Sturnira lilium"
"Cecropia peltata",1,0,0,0
"Ficus insipida",10,0,0,0
"Ficus Zapata-Mesa2017.unidsp.1",1,0,0,0
"Ficus Zapata-Mesa2017.unidsp.2",2,0,0,0
"Piper aduncum",0,3,0,0
"Piper glabratum",0,2,3,0
"Piper peltatum",0,5,2,0
"Piper tuberculatum",0,2,2,7
"Piper Zapata-Mesa2017.unidsp.999",0,0,1,0
"Psidium guajava",6,0,0,0
"Solanum nudum",0,0,0,1
"Unknown Zapata-Mesa2017.unidsp.1",0,0,1,0
"Unknown Zapata-Mesa2017.unidsp.2",0,0,0,1
"Unknown Zapata-Mesa2017.unidsp.3",0,1,0,0
