"","Artibeus jamaicensis","Artibeus rosenbergi","Carollia brevicauda","Carollia castanea","Carollia perspicillata","Platyrrhinus chocoensis","Rhinophylla alethina"
"Cecropia angustifolia",0,0,0,1,0,0,0
"Cecropia Zapata-Mesa2017.unidsp.293",0,0,0,0,0,1,0
"Ficus Zapata-Mesa2017.unidsp.2",1,0,0,1,0,0,0
"Melastomataceae Zapata-Mesa2017.unidsp.1",0,1,0,0,0,0,0
"Philodendron Zapata-Mesa2017.unidsp.3",0,0,1,0,0,0,0
"Piper aduncum",0,0,0,1,0,0,0
"Piper Zapata-Mesa2017.unidsp.1",0,0,0,0,0,0,1
"Piper Zapata-Mesa2017.unidsp.2",0,0,2,10,0,0,0
"Piper Zapata-Mesa2017.unidsp.3",0,0,0,1,0,0,0
"Piper Zapata-Mesa2017.unidsp.4",0,0,0,1,0,0,0
"Piper Zapata-Mesa2017.unidsp.5",0,0,0,1,1,0,0
"Piper Zapata-Mesa2017.unidsp.6",0,0,0,2,0,0,0
"Unknown Zapata-Mesa2017.unidsp.1",0,0,0,1,1,0,0
"Vismia baccifera",0,0,1,6,2,0,0
