"","Artibeus rava","Artibeus rosenbergi","Carollia castanea","Carollia perspicillata","Platyrrhinus chocoensis","Platyrrhinus dorsalis","Rhinophylla alethina","Vampyressa thyone"
"Cecropia angustifolia",0,0,0,0,1,1,0,0
"Ficus Zapata-Mesa2017.unidsp.3",0,0,0,1,0,0,1,0
"Melastomataceae Zapata-Mesa2017.unidsp.1",1,0,0,0,0,0,0,0
"Melastomataceae Zapata-Mesa2017.unidsp.2",0,0,0,0,0,0,0,1
"Philodendron Zapata-Mesa2017.unidsp.1",0,0,0,0,0,0,3,0
"Philodendron Zapata-Mesa2017.unidsp.3",0,0,0,1,0,0,0,0
"Piper Zapata-Mesa2017.unidsp.2",0,0,1,4,0,0,0,0
"Piper Zapata-Mesa2017.unidsp.7",0,0,0,0,0,0,1,0
"Solanum Zapata-Mesa2017.unidsp.1",1,1,0,0,0,0,0,0
"Unknown Zapata-Mesa2017.unidsp.2",1,0,0,0,0,0,0,0
