"","Elaenia flavogaster","Icterus cayanensis","Megarynchus pitangua","Mimus saturninus","Myiarchus ferox","Myiodynastes maculatus","Myiozetetes similis","Pitangus sulphuratus","Pyrrhocoma ruficeps","Ramphocelus carbo","Tachyphonus coronatus","Tangara cayana","Thraupis sayaca","Turdus albicollis","Turdus amaurochalinus","Turdus leucomelas","Tyrannus melancholicus","Zonotrichia capensis"
"Cecropia pachystachya",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Cestrum mariquitense",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Citharexylum myrianthum",0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0
"Cordia africana",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Eugenia uniflora",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Ficus daSilva.unidsp.1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Maytenus ilicifolia",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Melia azedarach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Miconia daSilva.unidsp.983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Momordica charantia",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Morus nigra",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Olyra daSilva.unidsp.736",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Schinus terebinthifolia",0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
"Undetermined daSilva.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Undetermined daSilva.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
