"","Conirostrum speciosum","Dacnis cayana","Elaenia flavogaster","Empidonomus varius","Fluvicola nengeta","Forpus xanthopterygius","Leptotila verreauxi","Patagioenas picazuro","Pitangus sulphuratus","Ramphastos toco","Ramphocelus carbo","Tachyphonus coronatus","Thraupis sayaca","Turdus amaurochalinus","Turdus leucomelas"
"Cestrum mariquitense",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Citharexylum myrianthum",0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
"Eugenia daSilva.unidsp.796",0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
"Ficus citrifolia",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Guarea kunthiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lauraceae daSilva.unidsp.1",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Melia azedarach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Morus nigra",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Piper aduncum",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Syzygium cumini",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Trema micrantha",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Trichilia catigua",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Trichilia claussenii",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"Undetermined daSilva.unidsp.4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Undetermined daSilva.unidsp.7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Undetermined daSilva.unidsp.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Undetermined daSilva.unidsp.9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Urera baccifera",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
