"","Cacicus haemorrhous","Camptostoma obsoletum","Celeus flavescens","Coereba flaveola","Coryphospingus pileatus","Crotophaga major","Cyanerpes cyaneus","Dacnis cayana","Elaenia deOliveira.unidsp.560","Elaenia flavogaster","Euphonia chlorotica","Euphonia violacea","Hemithraupis flavicollis","Manacus manacus","Megarynchus pitangua","Mimus gilvus","Myiarchus tyrannulus","Myiophobus fasciatus","Myiozetetes similis","Nemosia pileata","Pachyramphus polychopterus","Piaya cayana","Pipra pipra","Pipra rubrocapilla","Pipraeidea melanonota","Pitangus sulphuratus","Procnias nudicollis","Ramphocelus bresilius","Saltator maximus","Satrapa icterophrys","Sporophila caerulescens","Sporophila leucoptera","Tangara cayana","Tangara mexicana","Thraupis palmarum","Thraupis sayaca","Tolmomyias flaviventris","Turdus amaurochalinus","Turdus flavipes","Turdus fumigatus","Turdus leucomelas","Tyrannus melancholicus","Vireo olivaceus","Volatinia jacarina"
"Cecropia deOliveira.unidsp.2",10,0,2,24,0,0,41,171,0,0,3,138,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,18,0,0,0,45,49,1,34,0,0,0,4,1,0,0,0
"Clusia hilariana",37,0,0,0,0,4,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cordia curassavica",3,7,0,45,1,0,54,13,22,12,0,13,0,0,0,6,2,1,7,1,1,0,1,1,10,0,0,2,5,1,3,6,0,16,1,1,1,1,0,0,0,1,1,17
"Cupania deOliveira.unidsp.516",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cupania emarginata",21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Eugenia deOliveira.unidsp.914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Ficus deOliveira.unidsp.300",0,0,0,0,0,0,3,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0
"Ficus hirsuta",0,0,0,1,0,0,1,1,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"Guapira opposita",14,0,0,61,0,0,22,26,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,14,0,0,0,0,1,0,10,0,3,17,0,0,5,0,0
"Lantana pohliana",0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Myrcia splendens",0,0,0,1,0,0,56,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrsine umbellata",1,0,64,0,0,0,18,48,0,12,0,1,0,0,0,0,0,0,15,0,0,2,0,1,0,3,0,0,14,0,0,0,1,7,1,33,0,39,5,0,11,2,2,0
"Pera glabrata",2,7,0,12,1,0,276,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Phoradendron piperoides",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Protium heptaphyllum",69,0,0,1,0,0,8,0,1,0,2,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,7,0,0,0,1,11,48,10,0,6,2,2,16,0,0,0
"Psychotria deOliveira.unidsp.4",0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schinus terebinthifolia",3,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0
"Sorocea hilarii",9,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,4,0,4,0,2,21,3,0,0,0,0
"Struthanthus deOliveira.unidsp.850",0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0
