"","Agelaioides badius","Colaptes melanochloros","Elaenia parvirostris","Elaenia spectabilis","Empidonomus aurantioatrocristatus","Icterus cayanensis","Melanerpes cactorum","Mimus saturninus","Molothrus bonariensis","Myiarchus swainsoni","Myiopsitta monachus","Paroaria coronata","Phytotoma rutila","Pitangus sulphuratus","Poospiza melanoleuca","Saltator aurantiirostris","Saltator coerulescens","Saltatricula multicolor","Sicalis flaveola","Suiriri suiriri","Thraupis bonariensis","Thraupis sayaca","Turdus amaurochalinus","Tyrannus savana","Zonotrichia capensis"
"Celtis tala",0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
"Grabowskia duplicata",0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Holmbergia tweedii",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0
"Lycium ciliatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Morus alba",1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"Muehlenbeckia sagittifolia",0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
"Passiflora caerulea",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Phoradendron liga",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"Salpichroa origanifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sapium haematospermum",0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0
"Schinus longifolia",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
"Solanum sisymbriifolium",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
