"","study_id","net_id","latitude","longitude","latlon_id","locality_id","locality","location_notes","region","continental_island","oceanic_island","elevation","season_id","anthro_drivers","data_type","sampling_method","sampling_unit","ind_quant_unit","sampling_hours","sampling_days","sampling_period_months","year","plant_coverage","plant_sampling_type","target_birds","target_bats","target_primates","target_mamm_carns","target_mamm_herbs","target_mamm_others","target_fish","target_herps","specify_nfm_targets","reg"
"M_SD_001","M_SD_001","M_SD_001",40.331926,-74.666728,"247.latlon.id","Princeton, Mercer, New Jersey, USA","USA",NA,"North American","no","no",NA,"fall, winter",NA,"quant","general obs","feeding visits","yes",NA,60,"6",1975,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Nearctic"
"M_SD_002","M_SD_002","M_SD_002",-7.266667,146.7,"129.latlon.id","Mount Missim, Morobe Prov., New Guinea","Papua New Guinea",NA,"Papua-Melansian","yes","no",1430,"all",NA,"quant","focal obs, mist netting","feeding visits","yes",NA,NA,"16",1979,"comp","stand","sub","no","no","no","no","no","no","no",NA,"Oceanian"
"M_SD_003","M_SD_003","M_SD_003",18.296944,-66.781944,"167.latlon.id","Caguana, Puerto Rico","Puerto Rico",NA,"Panamanian","yes","no",430,"Feb to Sept",NA,"quant","general obs","feeding visits","yes",240,48,"8",1998,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"M_SD_004","M_SD_004","M_SD_004",18.258333,-66.535556,"166.latlon.id","Cialitos, Puerto Rico","Puerto Rico",NA,"Panamanian","yes","no",650,"Feb to Sept","coffee plantation-secondary forest","quant","general obs","feeding visits","yes",240,48,"8",1998,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"M_SD_005","M_SD_005","M_SD_005",18.1725,-66.591944,"165.latlon.id","Cordillera, Puerto Rico","Puerto Rico",NA,"Panamanian","yes","no",250,"Feb to Sept",NA,"quant","general obs","feeding visits","yes",240,48,"8",1998,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"M_SD_006","M_SD_006","M_SD_006",18.308333,-66.558611,"168.latlon.id","Fronton, Puerto Rico","Puerto Rico",NA,"Panamanian","yes","no",300,"Feb to Sept","coffee plantation-secondary forest","quant","general obs","feeding visits","yes",240,48,"8",1998,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"M_SD_007","M_SD_007","M_SD_007",-17.85,146.083333,"21.latlon.id","Tropical rainforest. Queensland, Australia.","Australia",NA,"Australian","no","no",NA,NA,NA,"bin","general obs","feeding binary","no",2700,408,"34",1972,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Australian"
"M_SD_008","M_SD_008","M_SD_008",-28.95,31.75,"85.latlon.id","Mtunzini, South Africa","South Africa",NA,"African","no","no",NA,NA,NA,"quant","focal obs","visits","yes",482,NA,"13",1978,"sub","stand","sub","no","no","no","no","no","no","no",NA,"Afrotropical"
"M_SD_009","M_SD_009","M_SD_009",-22.816667,-47.1,"56.latlon.id","Santa Genebra Reserve","Brazil",NA,"South American","no","no",640,NA,NA,"quant","focal obs","visits","yes",36,NA,NA,1990,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"M_SD_010 single partners added","M_SD_010","M_SD_010 single partners added",10.716667,-61.3,"143.latlon.id","Tropical rainforest. Trinidad.","Trinidad and Tobago","ISLAND: Trinidad","Amazonian","yes","no",NA,NA,NA,"quant","trail walk","feeding visits","yes",230,NA,"13.5",1961,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Neotropical"
